trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,8,13.000973200221923,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,4,18.324225153365234,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,7,5.965035609680498,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",20,0,4.390378473838457,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",20,0,23.512457890806484,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",20,8,19.22887765424884,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",30,14,-0.3200402955379431,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",25,19,9.118588206315431,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",25,0,-8.35285635813519,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",20,16,7.585819647275549,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",20,0,-4.008621193058529,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",20,0,9.842565246978339,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.20434346174623946}",20,0,-89.10848832990338,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",30,22,17.682731495910424,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748933}",30,12,30.051355763943093,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",20,1,23.689526768430646,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",30,23,16.876408355382576,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",35,7,-20.7364402694671,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",20,4,27.05807207996335,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",20,12,-10.140119587085618,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",25,0,-3.1350845138753307,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",20,2,-25.980332007823947,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",25,15,-1.2542244312499697,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",25,8,-11.269044235001537,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",35,7,44.91424475236675,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",25,17,14.470972204531485,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",25,10,-8.35786464300092,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",30,15,13.536278317152412,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626404}",20,11,3.0409016973258645,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",20,10,7.614869001563875,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
